id,headline,keywords,contents,date,source
1,"Votul din 18 mai nu este un scrutin obișnuit: este o Exorcizare!Pe 22 decembrie 1989, la vreo trei ore după fuga
lui Ceaușescu, la București (am aflat apoi că și în alte orașe) s-au petrecut
niște scene halucinante. Neverosimile.","exorcizare!pe,votul,decembrie,1989,,bucurești,aflat,orașe),petrecut,halucinante.,scrutin,ceaușescu,,neverosimile.,niște,obișnuit:,scene",,,https://www.activenews.ro/opinii/Votul-din-18-mai-nu-este-un-scrutin-obisnuit-este-o-Exorcizare-197287
2,"VIDEOMesajul directorului executiv al Asociației Accept către comunitate homosexuală înainte de turul 2 al alegerilor prezidențiale: Unul dintre candidați are inițiative legislative anti-LGBT - VIDEOVotul nostru pentru democrație și egalitate este în sine un act de grijă pentru noi înșine și pentru cei din jurul nostru.”, scrie Asociația Accept.","legislative,videomesajul,alegerilor,inițiative,anti-lgbt,nostru,turul,accept,videovotul,homosexuală,jurul,înainte,pentru,democrație,prezidențiale:,executiv,egalitate,grijă,directorului,către,înșine,nostru.”,,candidați,comunitate,dintre,scrie,asociația,accept.,asociației",,,https://www.activenews.ro/stiri/Mesajul-directorului-executiv-al-Asociatiei-Accept-catre-comunitate-homosexuala-inainte-de-turul-2-al-alegerilor-prezidentiale-Unul-dintre-candidati-are-initiative-legislative-anti-LGBT-VIDEO-197281
3,"De ce boli vizibile suferă candidatul prezidențial Nicușor Dan: Mucofagie și RhinotillexomanieManifestările candidatului Nicușor Dan, desfășurate în spațiul public, ridică întrebări legitime privind adecvarea comportamentală în contextul funcției politice la care aspiră. Deși astfel de manifestări apar în mod frecvent la copii, persistența lor compulsivă la adulți indică probleme psihologice semnificative.","compulsivă,nicușor,adulți,prezidențial,psihologice,desfășurate,legitime,public,,manifestări,întrebări,adecvarea,privind,contextul,funcției,candidatul,semnificative.,vizibile,candidatului,suferă,politice,frecvent,rhinotillexomaniemanifestările,indică,astfel,probleme,persistența,comportamentală,mucofagie,spațiul,copii,,ridică,aspiră.",,,https://www.activenews.ro/stiri-sanatate/De-ce-boli-vizibile-sufera-candidatul-prezidential-Nicusor-Dan-Mucofagie-si-Rhinotillexomanie-197280
4,"Turul 2 al Referendumului pentru Familie are loc Duminică - Referendumul pentru Marea Familie RomânăÎn Duminica Samarinencii, care vine cu „apa cea vie” a Mântuitorului, cu hrană duhovnicească din belșug și energie cerească pe pământ, românii sunt chemați să-și ia votul furat înapoi și să-l dea, din nou, lui Dumnezeu: pentru apărarea vieții.","vieții.,turul,duminica,referendumul,referendumului,chemați,pentru,energie,belșug,marea,samarinencii,,pământ,,familie,să-și,dumnezeu:,românii,furat,hrană,cerească,votul,românăîn,înapoi,apărarea,mântuitorului,,duminică,duhovnicească",,,https://www.activenews.ro/opinii/Turul-2-al-Referendumului-pentru-Familie-are-loc-Duminica-Referendumul-pentru-Marea-Familie-Romana-197278
5,"SFÂRȘIT DE CAPITOLMă bucur că, în sfârșit, se termină campania electorală. Nu cred că a fost o alta mai mizerabilă și mai încrâncenată în cei 35 de ani de „democrație originală”.","electorală.,încrâncenată,campania,sfârșit,,termină,capitolmă,mizerabilă,sfârșit,„democrație,bucur,originală”.",,,https://www.activenews.ro/opinii/SFARSIT-DE-CAPITOL-197276
6,"DA pentru România!Manuela Hărăbor: Nu vă lăsați manipulați, nu lăsați frica să vă guverneze. Aveți curaj, nu suntem singuri în această luptă. Hristos este cu noi!Astăzi diaspora a început să voteze. Este ultima zi de campanie electorală. Se fac presiuni incredibile asupra votanților. Se folosește la greu intimidarea, frica, defăimarea. Se măsluiesc la vedere sondajele. Maia și Macron influențează pe față și total ilegal. La fel de ilegal și interimarul Bolojan de la Cotroceni. Nu vă lăsați manipulați","electorală.,votanților.,românia!manuela,ilegal,manipulați,campanie,aveți,folosește,luptă.,presiuni,intimidarea,,hărăbor:,incredibile,suntem,noi!astăzi,voteze.,pentru,total,bolojan,defăimarea.,macron,influențează,frica,,lăsați,manipulați,,asupra,vedere,curaj,,interimarul,frica,măsluiesc,început,diaspora,ilegal.,această,singuri,guverneze.,ultima,cotroceni.,hristos,sondajele.",,,https://www.activenews.ro/opinii/Manuela-Harabor-Nu-va-lasati-manipulati-nu-lasati-frica-sa-va-guverneze.-Aveti-curaj-nu-suntem-singuri-in-aceasta-lupta.-Hristos-este-cu-noi-197273
7,"Bănescu și Vexler deturnează Federația Evreilor în interes politicFederația Comunităților Evreiești din România intră în alegerile prezidențiale!, transmite știripesurse.ro. „Nu putem concepe întoarcerea României la dictatură. Nu putem concepe țara noastră fără apartenența la Uniunea Europeană și NATO","româniei,deturnează,interes,românia,știripesurse.ro.,alegerile,apartenența,europeană,evreilor,noastră,federația,concepe,dictatură.,bănescu,comunităților,evreiești,uniunea,prezidențiale!,,vexler,întoarcerea,politicfederația,putem,transmite,intră",,,https://www.activenews.ro/stiri/Banescu-si-Vexler-deturneaza-Federatia-Evreilor-in-interes-politic-197267
8,"Cine este și ce vrea Nicușor Dan. Răspunsul creierului electronicRomânia are nevoie de reformă reală, nu de reciclarea aceleiași 
oligarhii în haine noi. Dacă vrem o țară normală, atunci trebuie să fim 
atenți nu doar la „vitrină” (candidatul), ci la structura nevăzută care 
trage sforile din spate.","spate.,nicușor,aceleiași,reformă,oligarhii,reciclarea,trage,atunci,răspunsul,structura,atenți,reală,,creierului,haine,nevoie,trebuie,sforile,normală,,(candidatul),,electronicromânia,„vitrină”,nevăzută",,,https://www.activenews.ro/opinii/Cine-este-si-ce-vrea-Nicusor-Dan.-Raspunsul-creierului-electronic-197268
9,"Cuvântul DuhovniculuiUn mare duhovnic avertizează: Nu poți să nu vezi că pretinsul creștin-ortodox Nicușor Dan nu-și asumă responsabil propria familie nici în fața lui Dumnezeu nici a oamenilor ci mimează ”familia”. Cum ar putea el să-și asume răspunderea pentru o țară?Așa cum am anunțat în materialul precedent despre Duhul Binelui și duhul răului, mai mulți părinți duhovnicești ai Bisericii noastre ne-au trimis mesaje cu privire la alegerile care riscă să arunce România în hăul duhurilor rele.","arunce,țară?așa,anunțat,noastre,nicușor,creștin-ortodox,mesaje,riscă,românia,duhurilor,duhovniculuiun,putea,alegerile,trimis,asumă,duhovnic,pentru,responsabil,”familia”.,duhovnicești,avertizează:,familie,să-și,binelui,răspunderea,oamenilor,cuvântul,rele.,părinți,privire,mimează,precedent,mulți,dumnezeu,pretinsul,despre,bisericii,asume,propria,nu-și,răului,,ne-au,duhul,materialul",,,https://www.activenews.ro/stiri/Un-mare-duhovnic-avertizeaza-Nu-poti-sa-nu-vezi-ca-pretinsul-crestin-ortodox-Nicusor-Dan-nu-si-asuma-responsabil-propria-familie-nici-in-fata-lui-Dumnezeu-nici-a-oamenilor-ci-mimeaza-familia-.-Cum-ar-putea-el-sa-si-asume-raspunderea-pentru-o-tara-197269
10,"Jim Ferguson: România se ridică - și o nouă generație mărșăluiește în spatele lui George Simion. ESTE O TREZIRE NAȚIONALĂJim Ferguson, personalitate de dreapta din UK, transmite un mesaj puternic despre situația politică din România, în pragul alegerilor:","situația,mesaj,simion.,românia,generație,pragul,naționalăjim,george,personalitate,spatele,românia,,ferguson:,politică,trezire,despre,puternic,ferguson,,alegerilor:,transmite,mărșăluiește,ridică,dreapta",,,https://www.activenews.ro/opinii/Jim-Ferguson-Romania-se-ridica-si-o-noua-generatie-marsaluieste-in-spatele-lui-George-Simion.-ESTE-O-TREZIRE-NATIONALA-197265
