id,headline,keywords,contents,date,source
1,"Traumele părinților și bunicilor ne pot influența votul la alegeri. Psiholog: Nu vorbim despre asta, dar trăim cu consecințele","consecințele,traumele,trăim,despre,psiholog:,alegeri.,influența,asta,,vorbim,părinților,votul,bunicilor",,,https://www.antena3.ro/politica/alegeri-prezidentiale-2025/traumele-parintilor-si-bunicilor-ne-pot-influenta-votul-la-alegeri-psiholog-nu-vorbim-despre-asta-dar-traim-cu-consecintele-746361.html
2,"George Simion și-a închis singur contul de TikTok, apoi susținătorii săi au lansat mesajul fake că i-a fost șters de altcineva","susținătorii,george,lansat,închis,tiktok,,șters,simion,mesajul,singur,contul,altcineva",,,https://www.antena3.ro/politica/alegeri-prezidentiale-2025/george-simion-si-a-inchis-singur-contul-de-tiktok-apoi-sustinatorii-sai-au-lansat-mesajul-fake-ca-i-a-fost-sters-de-altcineva-746352.html
3,"Români din Republica Moldova, cu lacrimi în ochi la ieșirea de la vot: „Să ne ajute și pe noi, să nu ne lase. Acolo sunt copiii mei”","moldova,,lase.,acolo,copiii,republica,ajute,lacrimi,ieșirea,români",,,https://www.antena3.ro/politica/alegeri-prezidentiale-2025/romani-din-republica-moldova-cu-lacrimi-in-ochi-la-iesirea-de-la-vot-sa-ne-ajute-si-pe-noi-sa-nu-ne-lase-acolo-sunt-copiii-mei-746341.html
4,S-a încheiat campania electorală pentru turul 2 al alegerilor prezidenţiale din 2025. Ce riscă cei care promovează un candidat,"promovează,electorală,campania,încheiat,prezidenţiale,riscă,2025.,candidat,pentru,alegerilor,turul",,,https://www.antena3.ro/politica/alegeri-prezidentiale-2025/s-a-incheiat-campania-electorala-pentru-turul-2-al-alegerilor-prezidentiale-din-2025-ce-risca-cei-care-promoveaza-un-candidat-746327.html
5,"Șoșoacă: Nu susținem globaliștii, dar nici persoane care apără violatorii unei minore","violatorii,șoșoacă:,globaliștii,,apără,minore,persoane,susținem",,,https://www.antena3.ro/politica/alegeri-prezidentiale-2025/sosoaca-nu-sustinem-globalistii-dar-nici-persoane-care-apara-violatorii-unei-minore-746323.html
6,"Ilie Bolojan, la reuniunea Comunităţii Politice Europene: „E important să acţionăm împreună pentru a spori încrederea în instituţii”","instituţii”,politice,împreună,bolojan,,important,spori,acţionăm,comunităţii,europene:,pentru,reuniunea,încrederea",,,https://www.antena3.ro/politica/ilie-bolojan-la-reuniunea-comunitatii-politice-europene-e-important-sa-actionam-impreuna-pentru-a-spori-increderea-in-institutii-746320.html
7,Cum l-au lăsat nervii pe Simion și la interviul cu Denise Rifai. A plecat nervos la jumătatea primei întrebări și nu s-a mai întors,"interviul,întrebări,jumătatea,întors,rifai.,denise,nervos,primei,simion,nervii,plecat,lăsat",,,https://www.antena3.ro/politica/alegeri-prezidentiale-2025/cum-l-au-lasat-nervii-pe-simion-si-la-interviul-cu-denise-rifai-a-plecat-nervos-la-jumatatea-primei-intrebari-si-nu-s-a-mai-intors-746312.html
8,"Georgescu si Simion, apariție împreună, înainte de alegeri. Candidatul AUR, numit “copilul năzdrăvan”, Georgescu e “tăticul”","năzdrăvan”,,înainte,“copilul,apariție,alegeri.,simion,,“tăticul”,georgescu,numit,candidatul,împreună,",,,https://www.antena3.ro/politica/georgescu-si-simion-aparitie-impreuna-inainte-de-alegeri-candidatul-aur-numit-copilul-nazdravan-georgescu-e-taticul-746310.html
9,"Călin Georgescu anunţă că vrea legături cu Rusia: „Politica externă a României va fi egal SUA, China, Rusia”","china,,anunţă,rusia:,rusia”,„politica,legături,călin,externă,georgescu,româniei",,,https://www.antena3.ro/politica/calin-georgescu-anunta-ca-vrea-legaturi-cu-rusia-politica-externa-a-romaniei-va-fi-egal-sua-china-rusia-746309.html
10,"Simion s-a întors în țară. O doamnă l-a întrebat în aeroport de ce fuge de dezbateri: „Succes, votați-l pe Nicușor. Faceți ce știți”","întrebat,aeroport,nicușor.,țară.,întors,votați-l,dezbateri:,simion,„succes,,doamnă,faceți,știți”",,,https://www.antena3.ro/politica/alegeri-prezidentiale-2025/simion-s-a-intors-in-tara-o-doamna-l-a-intrebat-in-aeroport-de-ce-fuge-de-dezbateri-succes-votati-l-pe-nicusor-faceti-ce-stiti-746302.html
11,"MAI anunță că o rețea de pagini clonate a fost reactivată în România, înainte de turul 2 al alegerilor prezidențiale","anunță,înainte,prezidențiale,clonate,rețea,reactivată,pagini,românia,,alegerilor,turul",,,https://www.antena3.ro/politica/mai-anunta-ca-o-retea-de-pagini-clonate-a-fost-reactivata-in-romania-inainte-de-turul-2-al-alegerilor-prezidentiale-746300.html
12,"George Simion lipsește și de la ultima dezbatere a campaniei. Nicușor Dan, singur în platoul Antena 1","george,lipsește,ultima,platoul,dezbatere,nicușor,simion,campaniei.,singur,antena",,,https://www.antena3.ro/politica/george-simion-lipseste-si-de-la-ultima-dezbatere-a-campaniei-nicusor-dan-singur-in-platoul-antena-1-746296.html
13,INTERVIU. Mirabela Grădinaru povestește cum l-a cunoscut pe Nicușor Dan: „La prima întâlnire am fost invitată la un meci de hochei”,"prima,întâlnire,interviu.,hochei”,mirabela,cunoscut,povestește,nicușor,grădinaru,invitată",,,https://www.antena3.ro/politica/interviu-mirabela-gradinaru-povesteste-cum-l-a-cunoscut-pe-nicusor-dan-la-prima-intalnire-am-fost-invitata-la-un-meci-de-hochei-746288.html
14,"Bitdefender avertizează asupra unei campanii ""deepfake"" cu numele lui Nicuşor Dan şi George Simion","nicuşor,avertizează,george,""deepfake"",simion,bitdefender,numele,campanii,asupra",,,https://www.antena3.ro/politica/alegeri-prezidentiale-2025/bitdefender-avertizeaza-asupra-unei-campanii-deepfake-cu-numele-lui-nicusor-dan-si-george-simion-746297.html
